,count,mean,std,10%,25%,50%,75%,90%,max,min
Source Port,217534.0,46413.35307584102,11778.50152263719,34456.0,39692.0,48914.0,54944.0,58938.0,65519.0,80.0
Protocol,217534.0,6.425823089723905,2.121968280225046,6.0,6.0,6.0,6.0,6.0,17.0,6.0
Flow Duration,217534.0,83906289.58977906,30293721.042050168,21039129.60000001,83546110.75,98162036.0,99885946.25,115643996.3,119999998.0,5022818.0
Total Fwd Packets,217534.0,13.19910910478362,391.7493569069669,5.0,6.0,8.0,10.0,19.0,180892.0,1.0
Total Backward Packets,217534.0,13.821103827447663,499.8088053126141,4.0,6.0,6.0,8.0,17.0,230419.0,1.0
Flow Bytes/s,217534.0,324.28084418124183,10054.286872522298,31.413122113000004,119.1969039,121.70807640000001,141.57494885,358.45249870000134,4314097.883,0.050343699
Flow Packets/s,217534.0,0.4949327432501311,8.171787417367396,0.12051256689999999,0.13174884875,0.15275946,0.31035049875,1.0361121618000007,3432.076647,0.025004319
Fwd Packet Length Mean,217534.0,98.6918972647769,223.66681600801274,36.88888889,44.5,54.66666667,73.0,124.2,4640.757576,0.0
Bwd Packet Length Mean,217534.0,1373.2262994519658,800.1917182247252,90.5,499.821969675,1656.428571,1932.5,2319.0,4370.686524,0.0
SYN Flag Count,217534.0,0.023173388987468627,0.1504542690980885,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACK Flag Count,217534.0,0.460213116110585,0.4984156356338046,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Down/Up Ratio,217534.0,0.42669191942409,0.500850669203709,0.0,0.0,0.0,1.0,1.0,12.0,0.0
Average Packet Size,217534.0,690.6557962675348,345.2611850801301,106.47198599000001,329.6470588,853.0,921.6923077,997.4166667,1791.337838,0.461538462
Active Mean,217534.0,185177.1740892857,896180.3190121679,8.0,997.0,10044.0,55826.249997499996,300409.92729000025,100000000.0,1.0
Idle Mean,217534.0,67413672.31279862,37471340.848993786,9637530.9999,12600000.0,84900000.0,98600000.0,99700000.0,120000000.0,5000002.0
